pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma
WASP-18 c,WASP-18,TIC 100100827,0.035,8.58,55.2,F6 IV-V,6400.0,1.23,1.22,2.455,1.0,F6V,0.001,0.1,1.23
TOI-564 b,TOI-564,TIC 1003831,0.02734,11.43318,464.98529,,5640.0,1.088,0.998,1.078,7.3,G5V,0.001,0.1,1.23
TOI-4791 b,TOI-4791,TIC 100389539,0.0555,12.44196858,734.18362017,,6058.0,1.409,1.242,2.400,3.3,F9V,0.001,0.1,1.23
TOI-411 b,HD 22946,TIC 100990000,0.05727,1.362,13.71,F7/F8V,6169.0,1.117,1.098,1.619,2.5,F8V,0.001,0.1,1.23
HD 22946 d,HD 22946,TIC 100990000,0.2958,2.607,26.57,F7/F8V,6169.0,1.117,1.098,1.619,2.5,F8V,0.001,0.1,1.23
TOI-411 c,HD 22946,TIC 100990000,0.1017,2.328,9.72,F7/F8V,6169.0,1.117,1.098,1.619,2.5,F8V,0.001,0.1,1.23
HD 73583 c,HD 73583,TIC 101011575,0.1242,2.39,9.7,K4 V,4511.0,0.65,0.73,0.180,0.48,K5V,0.001,0.1,1.23
HD 73583 b,HD 73583,TIC 101011575,0.0604,2.79,10.2,K4 V,4511.0,0.65,0.73,0.180,0.48,K5V,0.001,0.1,1.23
TOI-2580 b,TOI-2580,TIC 102713734,0.048,17.37392009,200.23189641,F,6120.0,1.81,1.33,4.130,2.0,F8V,0.001,0.1,1.23
TOI-815 b,TOI-815,TIC 102840239,0.0903,2.94,7.6,K3 V,4869.0,0.77,0.776,0.313,0.2,K3V,0.001,0.1,1.23
TOI-815 c,TOI-815,TIC 102840239,0.193,2.62,23.5,K3 V,4869.0,0.77,0.776,0.313,0.2,K3V,0.001,0.1,1.23
TOI-1235 b,TOI-1235,TIC 103633434,0.03845,1.69,6.69,M0.5 V,3997.0,0.619,0.63,0.088,5.3,K8V,0.001,0.1,1.23
TOI-733 b,TOI-733,TIC 106402532,0.0618,1.992,5.72,G,5585.0,0.949,0.956,0.820,4.4,G6V,0.001,0.1,1.23
TOI-2876 b,TOI-2876,TIC 10827386,0.0654,9.6397234,54.03082919,,5271.0,0.873,0.939,0.529,3.8,K0V,0.001,0.1,1.23
TOI-1411 b,TOI-1411,TIC 116483514,0.02122,1.19880592,2.0,,4115.0,0.614,0.6045,0.097,9.6,K7V,0.001,0.1,1.23
TOI-2447 b,TOI-2447,TIC 1167538,0.347,9.60609646,124.906563951,,5730.0,1.006,1.034,1.119,2.1,G3V,0.001,0.1,1.23
TOI-244 b,TOI-244,TIC 118327550,0.0559,1.52,2.68,M2.5 V,3433.0,0.426,0.428,0.023,7.0,M3V,0.001,0.6,1.23
TOI-6695 b,TOI-6695,TIC 118339710,0.402,9.52763359,66.74396547,F5V-G0V,6400.0,1.517,1.338,3.470,2.1,F6V,0.001,0.1,1.23
TOI-7510 c,TOI-7510,TIC 118798035,0.1595,10.81,131.0,G3,5720.0,1.035,1.063,1.026,4.4,G3V,0.001,0.1,1.23
TOI-7510 b,TOI-7510,TIC 118798035,0.1019,7.31,18.1,G3,5720.0,1.035,1.063,1.026,4.4,G3V,0.001,0.1,1.23
TOI-7510 d,TOI-7510,TIC 118798035,0.2672,10.52,190.0,G3,5720.0,1.035,1.063,1.026,4.4,G3V,0.001,0.1,1.23
TOI-1801 b,TOI-1801,TIC 119584412,0.075,2.079,5.738,M0.5+/-0.5 V,3863.0,0.547,0.556,0.059,0.7,M0V,0.001,0.6,1.23
TOI-5634 A b,TOI-5634 A,TIC 119585136,0.0272,10.42,588.0,,3896.0,0.54,0.556,0.057,7.4,K9V,0.001,0.1,1.23
TOI-4495 b,TOI-4495,TIC 120826158,0.03957,2.483,7.7,,6210.0,1.309,1.247,2.326,1.9,F8V,0.001,0.1,1.23
