pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
Earth,Sun,Sun,1.0,1.0,1.0,G2V,5772.0,1.0,1.0,1.000,4.6,G2V,0.00100,0.1,1.23,11.2,0.02118,1.0,0.05228,1.0,0.05904,1.0,0.07582,1.0,0.08134,1.0,0.07509,1.0
Mercury,Sun,Sun,0.4,0.383,0.055,G2V,5772.0,1.0,1.0,1.000,4.6,G2V,0.00100,0.1,1.23,4.2,2.45857,6.3,6.06888,6.3,6.85360,6.3,8.80099,6.3,9.44159,6.3,8.71682,6.3
Venus,Sun,Sun,0.72,0.949,0.814,G2V,5772.0,1.0,1.0,1.000,4.6,G2V,0.00100,0.1,1.23,10.4,0.05270,1.9,0.13009,1.9,0.14691,1.9,0.18865,1.9,0.20239,1.9,0.18685,1.9
Mars,Sun,Sun,1.52,0.533,0.11,G2V,5772.0,1.0,1.0,1.000,4.6,G2V,0.00100,0.1,1.23,5.1,0.11472,0.4,0.28318,0.4,0.31980,0.4,0.41067,0.4,0.44056,0.4,0.40674,0.4
WASP-18 c,WASP-18,TIC 100100827,0.035,8.58,55.2,F6 IV-V,6400.0,1.23,1.22,2.455,1.0,F6V,0.00100,0.1,1.23,28.4,8.79771,2003.8,21.71676,2003.8,24.52480,2003.8,31.49330,2003.8,33.78561,2003.8,24.52480,1575.5
TOI-564 b,TOI-564,TIC 1003831,0.02734,11.43318,464.98529,,5640.0,1.088,0.998,1.078,7.3,G5V,0.00100,0.1,1.23,71.3,0.21114,1442.2,0.52120,1442.2,0.58859,1442.2,0.75583,1442.2,0.81085,1442.2,0.78695,1516.1
TOI-4791 b,TOI-4791,TIC 100389539,0.0555,12.44196858,734.18362017,,6058.0,1.409,1.242,2.400,3.3,F9V,0.00100,0.1,1.23,85.9,0.05897,779.2,0.14556,779.2,0.16438,779.2,0.21109,779.2,0.22645,779.2,0.20063,747.7
TOI-411 b,HD 22946,TIC 100990000,0.05727,1.362,13.71,F7/F8V,6169.0,1.117,1.098,1.619,2.5,F8V,0.00100,0.1,1.23,35.5,0.14052,493.6,0.34686,493.6,0.39171,493.6,0.50301,493.6,0.53962,493.6,0.46007,455.8
TOI-411 c,HD 22946,TIC 100990000,0.1017,2.328,9.72,F7/F8V,6169.0,1.117,1.098,1.619,2.5,F8V,0.00100,0.1,1.23,22.8,0.44269,156.5,1.09275,156.5,1.23405,156.5,1.58469,156.5,1.70004,156.5,1.44941,144.5
HD 22946 d,HD 22946,TIC 100990000,0.2958,2.607,26.57,F7/F8V,6169.0,1.117,1.098,1.619,2.5,F8V,0.00100,0.1,1.23,35.7,0.00983,18.5,0.02428,18.5,0.02742,18.5,0.03521,18.5,0.03777,18.5,0.03220,17.1
HD 73583 b,HD 73583,TIC 101011575,0.0604,2.79,10.2,K4 V,4511.0,0.65,0.73,0.180,0.48,K5V,0.00100,0.1,1.23,21.4,0.21838,49.4,0.53907,49.4,0.60877,49.4,0.78175,49.4,0.83865,49.4,0.50596,32.3
HD 73583 c,HD 73583,TIC 101011575,0.1242,2.39,9.7,K4 V,4511.0,0.65,0.73,0.180,0.48,K5V,0.00100,0.1,1.23,22.5,0.03590,11.7,0.08862,11.7,0.10007,11.7,0.12851,11.7,0.13786,11.7,0.08317,7.6
TOI-2580 b,TOI-2580,TIC 102713734,0.048,17.37392009,200.23189641,F,6120.0,1.81,1.33,4.130,2.0,F8V,0.00100,0.1,1.23,38.0,4.96622,1792.5,12.25891,1792.5,13.84403,1792.5,17.77767,1792.5,19.07166,1792.5,15.71770,1600.1
TOI-815 b,TOI-815,TIC 102840239,0.0903,2.94,7.6,K3 V,4869.0,0.77,0.776,0.313,0.2,K3V,0.00100,0.1,1.23,18.0,0.35759,38.4,0.88269,38.4,0.99682,38.4,1.28006,38.4,1.37323,38.4,0.58670,17.8
TOI-815 c,TOI-815,TIC 102840239,0.193,2.62,23.5,K3 V,4869.0,0.77,0.776,0.313,0.2,K3V,0.00100,0.1,1.23,33.5,0.00579,8.4,0.01430,8.4,0.01615,8.4,0.02074,8.4,0.02225,8.4,0.00951,3.9
TOI-1235 b,TOI-1235,TIC 103633434,0.03845,1.69,6.69,M0.5 V,3997.0,0.619,0.63,0.088,5.3,K8V,0.00100,0.1,1.23,22.2,0.13643,59.7,0.33677,59.7,0.38031,59.7,0.48838,59.7,0.52393,59.7,0.49159,60.7
TOI-733 b,TOI-733,TIC 106402532,0.0618,1.992,5.72,G,5585.0,0.949,0.956,0.820,4.4,G6V,0.00100,0.1,1.23,18.9,1.09860,214.7,2.71185,214.7,3.06251,214.7,3.93269,214.7,4.21894,214.7,3.87473,213.6
TOI-2876 b,TOI-2876,TIC 10827386,0.0654,9.6397234,54.03082919,,5271.0,0.873,0.939,0.529,3.8,K0V,0.00100,0.1,1.23,26.5,0.80380,123.7,1.98414,123.7,2.24070,123.7,2.87737,123.7,3.08680,123.7,2.78477,120.9
TOI-1411 b,TOI-1411,TIC 116483514,0.02122,1.19880592,2.0,,4115.0,0.614,0.6045,0.097,9.6,K7V,0.00100,0.1,1.23,14.4,1.96516,215.4,4.85091,215.4,5.47815,215.4,7.03471,215.4,7.54675,215.4,7.51880,232.5
TOI-2447 b,TOI-2447,TIC 1167538,0.347,9.60609646,124.906563951,,5730.0,1.006,1.034,1.119,2.1,G3V,0.00100,0.1,1.23,40.3,0.01119,9.3,0.02761,9.3,0.03118,9.3,0.04004,9.3,0.04296,9.3,0.03567,8.4
TOI-244 b,TOI-244,TIC 118327550,0.0559,1.52,2.68,M2.5 V,3433.0,0.426,0.428,0.023,7.0,M3V,0.00100,0.6,1.23,14.8,0.07546,7.3,0.45277,17.7,0.67099,23.2,1.21252,32.7,1.39066,35.0,1.30255,35.5
TOI-6695 b,TOI-6695,TIC 118339710,0.402,9.52763359,66.74396547,F5V-G0V,6400.0,1.517,1.338,3.470,2.1,F6V,0.00100,0.1,1.23,29.6,0.08830,21.5,0.21795,21.5,0.24614,21.5,0.31607,21.5,0.33908,21.5,0.28160,19.3
TOI-7510 c,TOI-7510,TIC 118798035,0.1595,10.81,131.0,G3,5720.0,1.035,1.063,1.026,4.4,G3V,0.00100,0.1,1.23,38.9,0.06288,40.3,0.15521,40.3,0.17528,40.3,0.22508,40.3,0.24147,40.3,0.22177,40.1
TOI-7510 b,TOI-7510,TIC 118798035,0.1019,7.31,18.1,G3,5720.0,1.035,1.063,1.026,4.4,G3V,0.00100,0.1,1.23,17.6,2.49533,98.8,6.15962,98.8,6.95608,98.8,8.93258,98.8,9.58276,98.8,8.80094,98.3
TOI-7510 d,TOI-7510,TIC 118798035,0.2672,10.52,190.0,G3,5720.0,1.035,1.063,1.026,4.4,G3V,0.00100,0.1,1.23,47.5,0.00982,14.4,0.02423,14.4,0.02736,14.4,0.03514,14.4,0.03770,14.4,0.03462,14.3
TOI-1801 b,TOI-1801,TIC 119584412,0.075,2.079,5.738,M0.5+/-0.5 V,3863.0,0.547,0.556,0.059,0.7,M0V,0.00100,0.6,1.23,18.6,0.06051,10.5,0.36306,25.4,0.53803,33.4,0.97226,47.0,1.11510,50.2,0.41804,20.4
