pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
Earth,Sun,Sun,1.0,1.0,1.0,G2V,5772.0,1.0,1.0,1.000,4.6,G2V,0.00100,0.1,1.23,11.2,0.02118029,1.00000,0.05228262,1.00000,0.05904293,1.00000,0.07581943,1.00000,0.08133811,1.00000,0.07509431,1.00000
Mercury,Sun,Sun,0.4,0.383,0.055,G2V,5772.0,1.0,1.0,1.000,4.6,G2V,0.00100,0.1,1.23,4.2,2.45857108,6.25000,6.06887636,6.25000,6.85360194,6.25000,8.80098862,6.25000,9.44158798,6.25000,8.71681791,6.25000
Venus,Sun,Sun,0.72,0.949,0.814,G2V,5772.0,1.0,1.0,1.000,4.6,G2V,0.00100,0.1,1.23,10.4,0.05270073,1.92901,0.13008948,1.92901,0.14691047,1.92901,0.18865370,1.92901,0.20238528,1.92901,0.18684946,1.92901
Mars,Sun,Sun,1.52,0.533,0.11,G2V,5772.0,1.0,1.0,1.000,4.6,G2V,0.00100,0.1,1.23,5.1,0.11472046,0.43283,0.28318250,0.43283,0.31979892,0.43283,0.41066679,0.43283,0.44055807,0.43283,0.40673926,0.43283
HD 194490 b,HD 194490,TIC 100272295,11.116,12.4,3561.902957249,,5861.32,1.14911,1.06,1.404,nan,G1V,0.00100,0.1,1.23,189.5,0.00000004,0.01136,0.00000009,0.01136,0.00000010,0.01136,0.00000013,0.01136,0.00000014,0.01136,nan,nan
TOI-564 b,TOI-564,TIC 1003831,0.02734,11.43318,464.98529,,5640.0,1.088,0.998,1.078,7.3,G5V,0.00100,0.1,1.23,71.3,0.21114339,1442.19166,0.52119832,1442.19166,0.58859096,1442.19166,0.75583356,1442.19166,0.81084858,1442.19166,0.78695387,1516.07109
TOI-4791 b,TOI-4791,TIC 100389539,0.0555,12.44196858,734.18362017,,6058.0,1.409,1.242,2.400,3.3,F9V,0.00100,0.1,1.23,85.9,0.05896764,779.15531,0.14555907,779.15531,0.16438034,779.15531,0.21108747,779.15531,0.22645194,779.15531,0.20063171,747.71250
WASP-88 b,WASP-88,TIC 100566492,0.06431,16.36514,133.4886,F6,6430.0,1.8,0.94,5.291,3.0,F6V,0.00100,0.1,1.23,31.9,6.66431640,1279.24280,16.45057675,1279.24280,18.57769018,1279.24280,23.85636651,1279.24280,25.59280474,1279.24280,22.38734706,1212.06190
WASP-155 b,WASP-155,TIC 100909102,0.043,13.45077684,276.828542497,,5660.0,1.24,1.09,1.385,1.7,G5V,0.00100,0.1,1.23,50.7,0.50377344,749.00219,1.24354295,749.00219,1.40433712,749.00219,1.80336634,749.00219,1.93462833,749.00219,1.55251846,651.04257
HD 22946 d,HD 22946,TIC 100990000,0.2958,2.607,26.57,F7/F8V,6169.0,1.117,1.098,1.619,2.5,F8V,0.00100,0.1,1.23,35.7,0.00983480,18.50093,0.02427677,18.50093,0.02741584,18.50093,0.03520579,18.50093,0.03776833,18.50093,0.03220037,17.08495
