pl_name,hostname,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
Earth,Sun,1.0,1.0,1.0,G2V,5772.0,1.00000,4.6,G2V,0.00100,0.1,1.23,11.2,0.01470853,1.00000,0.03630737,1.00000,0.04100204,1.00000,0.05265238,1.00000,0.05648480,1.00000,0.05214882,1.00000
Mercury,Sun,0.4,0.383,0.055,G2V,5772.0,1.00000,4.6,G2V,0.00100,0.1,1.23,4.2,1.70734103,6.25000,4.21449747,6.25000,4.75944579,6.25000,6.11179765,6.25000,6.55665832,6.25000,6.05334577,6.25000
Venus,Sun,0.72,0.949,0.814,G2V,5772.0,1.00000,4.6,G2V,0.00100,0.1,1.23,10.4,0.03659773,1.92901,0.09033991,1.92901,0.10202116,1.92901,0.13100952,1.92901,0.14054533,1.92901,0.12975657,1.92901
Mars,Sun,1.52,0.533,0.11,G2V,5772.0,1.00000,4.6,G2V,0.00100,0.1,1.23,5.1,0.07966699,0.43283,0.19665451,0.43283,0.22208259,0.43283,0.28518527,0.43283,0.30594311,0.43283,0.28245782,0.43283
14 Her b,14 Her,2.839,12.5,2828.6728223,K0,5338.0,0.70351,4.6,G9V,0.00100,0.1,1.23,168.2,0.00000031,0.08728,0.00000077,0.08728,0.00000087,0.08728,0.00000112,0.08728,0.00000120,0.08728,0.00000111,0.08728
1RXS J160929.1-210524 b,1RXS J160929.1-210524,330.0,18.647,3000.0,K7 V,4060.0,0.42658,0.005,K7V,0.00100,0.1,1.23,141.8,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
2M0437 b,2MASS J04372171+2651014,118.0,13.0,1271.313628,M V,3100.0,0.06860,0.0025,M4.5V,0.00010,0.6,1.23,110.6,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,52.0,11.209,7786.5,M3.5 V,3530.0,0.01905,0.12,M2V,0.00100,0.6,1.23,294.7,0.00000000,0.00001,0.00000000,0.00002,0.00000000,0.00002,0.00000000,0.00003,0.00000000,0.00003,0.00000000,0.00000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,156.0,16.14096,4417.837,M6,3064.0,0.00589,0.035,M5V,0.00010,0.6,1.23,185.0,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,15.0,12.6,2383.6,M8.5,2936.0,0.00360,0.001,M5.5V,0.00010,0.6,1.23,153.8,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00001,0.00000000,0.00001,0.00000000,0.00001,0.00000000,0.00000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,46.0,15.69257298,1652.7077164,M8,2825.0,0.00275,0.01,M6V,0.00010,0.6,1.23,114.7,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,230.0,12.3,3972.875,K7 V,4045.0,0.09519,0.12,K7V,0.00100,0.1,1.23,200.9,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
2MASS J22501512+2325342 b,2MASS J22501512+2325342,518.0,11.9,9534.85221,M3,3352.0,0.02178,0.15,M3V,0.00100,0.6,1.23,316.5,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
51 Peg b,51 Peg,0.0527,14.3,146.2018,G5V,5758.0,1.36871,10.0,G2V,0.00100,0.1,1.23,35.7,0.99165535,492.82051,2.44785834,492.82051,2.76437443,492.82051,3.54984549,492.82051,3.80822882,492.82051,3.80822882,533.79665
70 Vir b,70 Vir,0.481,12.6,2380.45,G5V,5495.0,2.82683,7.77,G8V,0.00100,0.1,1.23,153.7,0.00006344,12.21827,0.00015660,12.21827,0.00017685,12.21827,0.00022710,12.21827,0.00024363,12.21827,0.00023792,12.92376
AB Pic b,AB Pic,260.0,12.3,4290.5,K2 V,5285.0,0.59387,0.03,K0V,0.00100,0.1,1.23,208.8,0.00000000,0.00001,0.00000000,0.00001,0.00000000,0.00001,0.00000000,0.00001,0.00000000,0.00001,0.00000000,0.00000
AF Lep b,AF Lep,8.996,13.0,1147.36054927,F8,6140.0,1.94984,0.024,F8V,0.00100,0.1,1.23,105.0,0.00000059,0.02409,0.00000146,0.02409,0.00000165,0.02409,0.00000212,0.02409,0.00000227,0.02409,0.00000014,0.00163
AU Mic b,AU Mic,0.07,4.79,8.99,M1 V,3540.0,0.10530,0.019,M2V,0.00100,0.6,1.23,15.3,0.42982373,21.48988,2.57894241,52.23477,3.82188615,68.54648,6.90639384,96.45976,7.92105296,103.12505,0.08166651,1.15163
AU Mic c,AU Mic,0.119,2.79,14.46,M1 V,3540.0,0.10530,0.019,M2V,0.00100,0.6,1.23,25.5,0.01136008,7.43594,0.06816048,18.07431,0.10101102,23.71851,0.18253341,33.37708,0.20935047,35.68341,0.00215842,0.39849
BD+20 594 b,BD+20 594,0.241,2.57807,22.2481,G,5766.0,0.87999,3.34,G2V,0.00100,0.1,1.23,32.8,0.00771460,15.15116,0.01904316,15.15116,0.02150550,15.15116,0.02761609,15.15116,0.02962619,15.15116,0.02628972,14.56274
BD+60 1417 b,BD+60 1417,1662.0,14.68376472,4767.426105,K0,4993.0,2.26960,0.1,K2V,0.00100,0.1,1.23,201.4,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
